binFileName	corrected_species	pathogenicity	variable	value
AMDSedi_BP4.concoct.122_sub.contigs.fa_BP4.filtered			numORF_multimetal	12
AMDSedi_BP4.concoct.124.contigs.fa_BP4.filtered			numORF_asARG	19
AMDSedi_BP4.concoct.124.contigs.fa_BP4.filtered			numORF_multimetal	7
AMDSedi_BP4.concoct.124.contigs.fa_BP4.filtered			numORF_multidrug	5
AMDSedi_BP4.concoct.124.contigs.fa_BP4.filtered			numORF_MRG	38
AMDSedi_BP4.concoct.133_sub.contigs.fa_BP4.filtered			numORF_multimetal	10
AMDSedi_BP4.concoct.133_sub.contigs.fa_BP4.filtered			numORF_asARG	20
AMDSedi_BP4.concoct.133_sub.contigs.fa_BP4.filtered			numORF_multidrug	3
AMDSedi_BP4.concoct.133_sub.contigs.fa_BP4.filtered			numORF_MRG	57
AMDSedi_BP4.concoct.17.contigs.fa_BP4.filtered			numORF_multidrug	5
AMDSedi_BP4.concoct.17.contigs.fa_BP4.filtered			numORF_multimetal	4
AMDSedi_BP4.concoct.17.contigs.fa_BP4.filtered			numORF_MRG	44
AMDSedi_BP4.concoct.17.contigs.fa_BP4.filtered			numORF_asARG	14
AMDSedi_BP4.concoct.22_sub.contigs.fa_BP4.filtered			numORF_multidrug	9
AMDSedi_BP4.concoct.22_sub.contigs.fa_BP4.filtered			numORF_multimetal	9
AMDSedi_BP4.concoct.22_sub.contigs.fa_BP4.filtered			numORF_asARG	15
AMDSedi_BP4.concoct.22_sub.contigs.fa_BP4.filtered			numORF_MRG	21
AMDSedi_BP4.concoct.3.contigs.fa_BP4.filtered			numORF_MRG	25
AMDSedi_BP4.concoct.3.contigs.fa_BP4.filtered			numORF_multidrug	10
AMDSedi_BP4.concoct.3.contigs.fa_BP4.filtered			numORF_multimetal	7
AMDSedi_BP4.concoct.3.contigs.fa_BP4.filtered			numORF_asARG	26
AMDSedi_BP4.concoct.40_sub.contigs.fa_BP4.filtered			numORF_MRG	55
AMDSedi_BP4.concoct.40_sub.contigs.fa_BP4.filtered			numORF_multimetal	11
AMDSedi_BP4.concoct.40_sub.contigs.fa_BP4.filtered			numORF_asARG	36
AMDSedi_BP4.concoct.40_sub.contigs.fa_BP4.filtered			numORF_multidrug	15
AMDSedi_BP4.concoct.41_sub.contigs.fa_BP4.filtered			numORF_asARG	23
AMDSedi_BP4.concoct.41_sub.contigs.fa_BP4.filtered			numORF_multidrug	6
AMDSedi_BP4.concoct.41_sub.contigs.fa_BP4.filtered			numORF_multimetal	4
AMDSedi_BP4.concoct.41_sub.contigs.fa_BP4.filtered			numORF_MRG	15
AMDSedi_BP4.concoct.45.contigs.fa_BP4.filtered			numORF_MRG	22
AMDSedi_BP4.concoct.45.contigs.fa_BP4.filtered			numORF_multidrug	5
AMDSedi_BP4.concoct.45.contigs.fa_BP4.filtered			numORF_asARG	18
AMDSedi_BP4.concoct.45.contigs.fa_BP4.filtered			numORF_multimetal	7
AMDSedi_BP4.concoct.71.contigs.fa_BP4.filtered			numORF_multidrug	8
AMDSedi_BP4.concoct.71.contigs.fa_BP4.filtered			numORF_multimetal	7
AMDSedi_BP4.concoct.71.contigs.fa_BP4.filtered			numORF_asARG	22
AMDSedi_BP4.concoct.71.contigs.fa_BP4.filtered			numORF_MRG	13
AMDSedi_BP4.concoct.72.contigs.fa_BP4.filtered			numORF_asARG	44
AMDSedi_BP4.concoct.72.contigs.fa_BP4.filtered			numORF_MRG	28
AMDSedi_BP4.concoct.72.contigs.fa_BP4.filtered			numORF_multidrug	19
AMDSedi_BP4.concoct.72.contigs.fa_BP4.filtered			numORF_multimetal	19
AMDSedi_BP4.concoct.74.contigs.fa_BP4.filtered			numORF_MRG	16
AMDSedi_BP4.concoct.74.contigs.fa_BP4.filtered			numORF_multimetal	4
AMDSedi_BP4.concoct.74.contigs.fa_BP4.filtered			numORF_asARG	31
AMDSedi_BP4.concoct.74.contigs.fa_BP4.filtered			numORF_multidrug	17
AMDSedi_BP4.concoct.78_sub.contigs.fa_BP4.filtered			numORF_multidrug	9
AMDSedi_BP4.concoct.78_sub.contigs.fa_BP4.filtered			numORF_multimetal	7
AMDSedi_BP4.concoct.78_sub.contigs.fa_BP4.filtered			numORF_MRG	16
AMDSedi_BP4.concoct.78_sub.contigs.fa_BP4.filtered			numORF_asARG	13
AMDSedi_BP4.concoct.8_sub.contigs.fa_BP4.filtered			numORF_multidrug	4
AMDSedi_BP4.concoct.8_sub.contigs.fa_BP4.filtered			numORF_multimetal	2
AMDSedi_BP4.concoct.8_sub.contigs.fa_BP4.filtered			numORF_asARG	9
AMDSedi_BP4.concoct.8_sub.contigs.fa_BP4.filtered			numORF_MRG	7
AMDSedi_BP4.concoct.84.contigs.fa_BP4.filtered			numORF_asARG	27
AMDSedi_BP4.concoct.84.contigs.fa_BP4.filtered			numORF_multimetal	4
AMDSedi_BP4.concoct.84.contigs.fa_BP4.filtered			numORF_MRG	14
AMDSedi_BP4.concoct.84.contigs.fa_BP4.filtered			numORF_multidrug	11
AMDSedi_BP4.metabat2.100.contigs.fa_BP4.filtered			numORF_multimetal	6
AMDSedi_BP4.metabat2.100.contigs.fa_BP4.filtered			numORF_asARG	20
AMDSedi_BP4.metabat2.100.contigs.fa_BP4.filtered			numORF_MRG	15
AMDSedi_BP4.metabat2.100.contigs.fa_BP4.filtered			numORF_multidrug	3
AMDSedi_BP4.metabat2.108.contigs.fa_BP4.filtered			numORF_MRG	5
AMDSedi_BP4.metabat2.108.contigs.fa_BP4.filtered			numORF_asARG	14
AMDSedi_BP4.metabat2.108.contigs.fa_BP4.filtered			numORF_multimetal	1
AMDSedi_BP4.metabat2.108.contigs.fa_BP4.filtered			numORF_multidrug	4
AMDSedi_BP4.metabat2.112.contigs.fa_BP4.filtered			numORF_multidrug	10
AMDSedi_BP4.metabat2.112.contigs.fa_BP4.filtered			numORF_multimetal	15
AMDSedi_BP4.metabat2.112.contigs.fa_BP4.filtered			numORF_MRG	33
AMDSedi_BP4.metabat2.112.contigs.fa_BP4.filtered			numORF_asARG	27
AMDSedi_BP4.metabat2.114_sub.contigs.fa_BP4.filtered			numORF_asARG	24
AMDSedi_BP4.metabat2.114_sub.contigs.fa_BP4.filtered			numORF_multidrug	13
AMDSedi_BP4.metabat2.114_sub.contigs.fa_BP4.filtered			numORF_multimetal	12
AMDSedi_BP4.metabat2.114_sub.contigs.fa_BP4.filtered			numORF_MRG	25
AMDSedi_BP4.metabat2.120.contigs.fa_BP4.filtered			numORF_multidrug	8
AMDSedi_BP4.metabat2.120.contigs.fa_BP4.filtered			numORF_multimetal	5
AMDSedi_BP4.metabat2.120.contigs.fa_BP4.filtered			numORF_MRG	12
AMDSedi_BP4.metabat2.120.contigs.fa_BP4.filtered			numORF_asARG	25
AMDSedi_BP4.metabat2.122.contigs.fa_BP4.filtered			numORF_multimetal	2
AMDSedi_BP4.metabat2.122.contigs.fa_BP4.filtered			numORF_multidrug	1
AMDSedi_BP4.metabat2.122.contigs.fa_BP4.filtered			numORF_MRG	2
AMDSedi_BP4.metabat2.122.contigs.fa_BP4.filtered			numORF_asARG	11
AMDSedi_BP4.metabat2.130.contigs.fa_BP4.filtered			numORF_multimetal	1
AMDSedi_BP4.metabat2.130.contigs.fa_BP4.filtered			numORF_multidrug	5
AMDSedi_BP4.metabat2.130.contigs.fa_BP4.filtered			numORF_MRG	2
AMDSedi_BP4.metabat2.130.contigs.fa_BP4.filtered			numORF_asARG	20
AMDSedi_BP4.metabat2.152.contigs.fa_BP4.filtered			numORF_MRG	2
AMDSedi_BP4.metabat2.152.contigs.fa_BP4.filtered			numORF_multimetal	1
AMDSedi_BP4.metabat2.152.contigs.fa_BP4.filtered			numORF_multidrug	11
AMDSedi_BP4.metabat2.152.contigs.fa_BP4.filtered			numORF_asARG	22
AMDSedi_BP4.metabat2.153.contigs.fa_BP4.filtered			numORF_asARG	20
AMDSedi_BP4.metabat2.153.contigs.fa_BP4.filtered			numORF_multimetal	17
AMDSedi_BP4.metabat2.153.contigs.fa_BP4.filtered			numORF_MRG	50
AMDSedi_BP4.metabat2.153.contigs.fa_BP4.filtered			numORF_multidrug	8
AMDSedi_BP4.metabat2.155_sub.contigs.fa_BP4.filtered			numORF_multimetal	10
AMDSedi_BP4.metabat2.155_sub.contigs.fa_BP4.filtered			numORF_multidrug	18
AMDSedi_BP4.metabat2.155_sub.contigs.fa_BP4.filtered			numORF_MRG	22
AMDSedi_BP4.metabat2.155_sub.contigs.fa_BP4.filtered			numORF_asARG	37
AMDSedi_BP4.metabat2.162_sub.contigs.fa_BP4.filtered			numORF_multidrug	18
AMDSedi_BP4.metabat2.162_sub.contigs.fa_BP4.filtered			numORF_multimetal	10
AMDSedi_BP4.metabat2.162_sub.contigs.fa_BP4.filtered			numORF_asARG	36
AMDSedi_BP4.metabat2.162_sub.contigs.fa_BP4.filtered			numORF_MRG	20
AMDSedi_BP4.metabat2.164.contigs.fa_BP4.filtered			numORF_asARG	30
AMDSedi_BP4.metabat2.164.contigs.fa_BP4.filtered			numORF_MRG	16
AMDSedi_BP4.metabat2.164.contigs.fa_BP4.filtered			numORF_multidrug	14
AMDSedi_BP4.metabat2.164.contigs.fa_BP4.filtered			numORF_multimetal	7
AMDSedi_BP4.metabat2.166.contigs.fa_BP4.filtered			numORF_multidrug	5
AMDSedi_BP4.metabat2.166.contigs.fa_BP4.filtered			numORF_asARG	20
AMDSedi_BP4.metabat2.166.contigs.fa_BP4.filtered			numORF_MRG	1
AMDSedi_BP4.metabat2.166.contigs.fa_BP4.filtered			numORF_multimetal	0
AMDSedi_BP4.metabat2.17_sub.contigs.fa_BP4.filtered			numORF_MRG	26
AMDSedi_BP4.metabat2.17_sub.contigs.fa_BP4.filtered			numORF_asARG	28
AMDSedi_BP4.metabat2.17_sub.contigs.fa_BP4.filtered			numORF_multidrug	14
AMDSedi_BP4.metabat2.17_sub.contigs.fa_BP4.filtered			numORF_multimetal	12
AMDSedi_BP4.metabat2.175.contigs.fa_BP4.filtered			numORF_multidrug	6
AMDSedi_BP4.metabat2.175.contigs.fa_BP4.filtered			numORF_MRG	8
AMDSedi_BP4.metabat2.175.contigs.fa_BP4.filtered			numORF_multimetal	4
AMDSedi_BP4.metabat2.175.contigs.fa_BP4.filtered			numORF_asARG	16
AMDSedi_BP4.metabat2.177.contigs.fa_BP4.filtered			numORF_multidrug	7
AMDSedi_BP4.metabat2.177.contigs.fa_BP4.filtered			numORF_multimetal	10
AMDSedi_BP4.metabat2.177.contigs.fa_BP4.filtered			numORF_MRG	26
AMDSedi_BP4.metabat2.177.contigs.fa_BP4.filtered			numORF_asARG	22
AMDSedi_BP4.metabat2.179.contigs.fa_BP4.filtered			numORF_multidrug	20
AMDSedi_BP4.metabat2.179.contigs.fa_BP4.filtered			numORF_asARG	40
AMDSedi_BP4.metabat2.179.contigs.fa_BP4.filtered			numORF_MRG	25
AMDSedi_BP4.metabat2.179.contigs.fa_BP4.filtered			numORF_multimetal	9
AMDSedi_BP4.metabat2.182_sub.contigs.fa_BP4.filtered			numORF_asARG	22
AMDSedi_BP4.metabat2.182_sub.contigs.fa_BP4.filtered			numORF_MRG	12
AMDSedi_BP4.metabat2.182_sub.contigs.fa_BP4.filtered			numORF_multimetal	4
AMDSedi_BP4.metabat2.182_sub.contigs.fa_BP4.filtered			numORF_multidrug	9
AMDSedi_BP4.metabat2.186_sub.contigs.fa_BP4.filtered			numORF_MRG	37
AMDSedi_BP4.metabat2.186_sub.contigs.fa_BP4.filtered			numORF_multimetal	13
AMDSedi_BP4.metabat2.186_sub.contigs.fa_BP4.filtered			numORF_asARG	24
AMDSedi_BP4.metabat2.186_sub.contigs.fa_BP4.filtered			numORF_multidrug	9
AMDSedi_BP4.metabat2.187.contigs.fa_BP4.filtered			numORF_multimetal	2
AMDSedi_BP4.metabat2.187.contigs.fa_BP4.filtered			numORF_MRG	7
AMDSedi_BP4.metabat2.187.contigs.fa_BP4.filtered			numORF_multidrug	5
AMDSedi_BP4.metabat2.187.contigs.fa_BP4.filtered			numORF_asARG	14
AMDSedi_BP4.metabat2.191.contigs.fa_BP4.filtered	Thiomonas arsenitoxydans		numORF_asARG	22
AMDSedi_BP4.metabat2.191.contigs.fa_BP4.filtered	Thiomonas arsenitoxydans		numORF_multimetal	9
AMDSedi_BP4.metabat2.191.contigs.fa_BP4.filtered	Thiomonas arsenitoxydans		numORF_multidrug	9
AMDSedi_BP4.metabat2.191.contigs.fa_BP4.filtered	Thiomonas arsenitoxydans		numORF_MRG	30
AMDSedi_BP4.metabat2.198.contigs.fa_BP4.filtered			numORF_multimetal	8
AMDSedi_BP4.metabat2.198.contigs.fa_BP4.filtered			numORF_multidrug	5
AMDSedi_BP4.metabat2.198.contigs.fa_BP4.filtered			numORF_asARG	21
AMDSedi_BP4.metabat2.198.contigs.fa_BP4.filtered			numORF_MRG	14
AMDSedi_BP4.metabat2.25.contigs.fa_BP4.filtered			numORF_MRG	0
AMDSedi_BP4.metabat2.25.contigs.fa_BP4.filtered			numORF_multimetal	0
AMDSedi_BP4.metabat2.25.contigs.fa_BP4.filtered			numORF_asARG	17
AMDSedi_BP4.metabat2.25.contigs.fa_BP4.filtered			numORF_multidrug	9
AMDSedi_BP4.metabat2.30.contigs.fa_BP4.filtered			numORF_multimetal	2
AMDSedi_BP4.metabat2.30.contigs.fa_BP4.filtered			numORF_multidrug	13
AMDSedi_BP4.metabat2.30.contigs.fa_BP4.filtered			numORF_MRG	13
AMDSedi_BP4.metabat2.30.contigs.fa_BP4.filtered			numORF_asARG	31
AMDSedi_BP4.metabat2.31_sub.contigs.fa_BP4.filtered			numORF_asARG	20
AMDSedi_BP4.metabat2.31_sub.contigs.fa_BP4.filtered			numORF_multimetal	5
AMDSedi_BP4.metabat2.31_sub.contigs.fa_BP4.filtered			numORF_MRG	16
AMDSedi_BP4.metabat2.31_sub.contigs.fa_BP4.filtered			numORF_multidrug	4
AMDSedi_BP4.metabat2.4_sub.contigs.fa_BP4.filtered			numORF_MRG	23
AMDSedi_BP4.metabat2.4_sub.contigs.fa_BP4.filtered			numORF_multidrug	11
AMDSedi_BP4.metabat2.4_sub.contigs.fa_BP4.filtered			numORF_multimetal	7
AMDSedi_BP4.metabat2.4_sub.contigs.fa_BP4.filtered			numORF_asARG	21
AMDSedi_BP4.metabat2.62_sub.contigs.fa_BP4.filtered			numORF_multidrug	4
AMDSedi_BP4.metabat2.62_sub.contigs.fa_BP4.filtered			numORF_asARG	13
AMDSedi_BP4.metabat2.62_sub.contigs.fa_BP4.filtered			numORF_MRG	19
AMDSedi_BP4.metabat2.62_sub.contigs.fa_BP4.filtered			numORF_multimetal	10
AMDSedi_BP4.metabat2.68.contigs.fa_BP4.filtered			numORF_multidrug	5
AMDSedi_BP4.metabat2.68.contigs.fa_BP4.filtered			numORF_MRG	12
AMDSedi_BP4.metabat2.68.contigs.fa_BP4.filtered			numORF_multimetal	6
AMDSedi_BP4.metabat2.68.contigs.fa_BP4.filtered			numORF_asARG	17
AMDSedi_BP4.metabat2.69_sub.contigs.fa_BP4.filtered			numORF_asARG	25
AMDSedi_BP4.metabat2.69_sub.contigs.fa_BP4.filtered			numORF_multidrug	9
AMDSedi_BP4.metabat2.69_sub.contigs.fa_BP4.filtered			numORF_MRG	12
AMDSedi_BP4.metabat2.69_sub.contigs.fa_BP4.filtered			numORF_multimetal	2
AMDSedi_BP4.metabat2.71.contigs.fa_BP4.filtered			numORF_multidrug	4
AMDSedi_BP4.metabat2.71.contigs.fa_BP4.filtered			numORF_MRG	22
AMDSedi_BP4.metabat2.71.contigs.fa_BP4.filtered			numORF_asARG	16
AMDSedi_BP4.metabat2.71.contigs.fa_BP4.filtered			numORF_multimetal	12
AMDSedi_BP4.metabat2.74.contigs.fa_BP4.filtered			numORF_MRG	12
AMDSedi_BP4.metabat2.74.contigs.fa_BP4.filtered			numORF_multidrug	1
AMDSedi_BP4.metabat2.74.contigs.fa_BP4.filtered			numORF_asARG	19
AMDSedi_BP4.metabat2.74.contigs.fa_BP4.filtered			numORF_multimetal	4
AMDSedi_BP4.metabat2.78.contigs.fa_BP4.filtered			numORF_MRG	7
AMDSedi_BP4.metabat2.78.contigs.fa_BP4.filtered			numORF_multimetal	2
AMDSedi_BP4.metabat2.78.contigs.fa_BP4.filtered			numORF_asARG	32
AMDSedi_BP4.metabat2.78.contigs.fa_BP4.filtered			numORF_multidrug	12
AMDSedi_BP4.metabat2.79.contigs.fa_BP4.filtered			numORF_multimetal	7
AMDSedi_BP4.metabat2.79.contigs.fa_BP4.filtered			numORF_MRG	19
AMDSedi_BP4.metabat2.79.contigs.fa_BP4.filtered			numORF_multidrug	13
AMDSedi_BP4.metabat2.79.contigs.fa_BP4.filtered			numORF_asARG	28
AMDSedi_BP4.metabat2.86_sub.contigs.fa_BP4.filtered			numORF_multidrug	16
AMDSedi_BP4.metabat2.86_sub.contigs.fa_BP4.filtered			numORF_MRG	23
AMDSedi_BP4.metabat2.86_sub.contigs.fa_BP4.filtered			numORF_multimetal	11
AMDSedi_BP4.metabat2.86_sub.contigs.fa_BP4.filtered			numORF_asARG	41
AMDSedi_BP4.metabat2.88.contigs.fa_BP4.filtered			numORF_multimetal	9
AMDSedi_BP4.metabat2.88.contigs.fa_BP4.filtered			numORF_asARG	24
AMDSedi_BP4.metabat2.88.contigs.fa_BP4.filtered			numORF_MRG	18
AMDSedi_BP4.metabat2.88.contigs.fa_BP4.filtered			numORF_multidrug	3
AMDSedi_BP4.metabat2.9.contigs.fa_BP4.filtered			numORF_multimetal	7
AMDSedi_BP4.metabat2.9.contigs.fa_BP4.filtered			numORF_MRG	15
AMDSedi_BP4.metabat2.9.contigs.fa_BP4.filtered			numORF_asARG	28
AMDSedi_BP4.metabat2.9.contigs.fa_BP4.filtered			numORF_multidrug	8
AMDSedi_BP4.metabat2.90.contigs.fa_BP4.filtered			numORF_multimetal	9
AMDSedi_BP4.metabat2.90.contigs.fa_BP4.filtered			numORF_asARG	27
AMDSedi_BP4.metabat2.90.contigs.fa_BP4.filtered			numORF_MRG	22
AMDSedi_BP4.metabat2.90.contigs.fa_BP4.filtered			numORF_multidrug	12
AMDSedi_BP4.metabat2.92.contigs.fa_BP4.filtered			numORF_multimetal	4
AMDSedi_BP4.metabat2.92.contigs.fa_BP4.filtered			numORF_MRG	24
AMDSedi_BP4.metabat2.92.contigs.fa_BP4.filtered			numORF_asARG	31
AMDSedi_BP4.metabat2.92.contigs.fa_BP4.filtered			numORF_multidrug	11
AMDSedi_BP4.metabat2.95_sub.contigs.fa_BP4.filtered			numORF_multimetal	11
AMDSedi_BP4.metabat2.95_sub.contigs.fa_BP4.filtered			numORF_MRG	63
AMDSedi_BP4.metabat2.95_sub.contigs.fa_BP4.filtered			numORF_multidrug	4
AMDSedi_BP4.metabat2.95_sub.contigs.fa_BP4.filtered			numORF_asARG	24
AMDSedi_BP4.metabat2.98.contigs.fa_BP4.filtered			numORF_multimetal	9
AMDSedi_BP4.metabat2.98.contigs.fa_BP4.filtered			numORF_multidrug	10
AMDSedi_BP4.metabat2.98.contigs.fa_BP4.filtered			numORF_MRG	21
AMDSedi_BP4.metabat2.98.contigs.fa_BP4.filtered			numORF_asARG	34
AMDSedi_BP4.metabat2.99.contigs.fa_BP4.filtered			numORF_asARG	23
AMDSedi_BP4.metabat2.99.contigs.fa_BP4.filtered			numORF_MRG	9
AMDSedi_BP4.metabat2.99.contigs.fa_BP4.filtered			numORF_multimetal	5
AMDSedi_BP4.metabat2.99.contigs.fa_BP4.filtered			numORF_multidrug	9
AMDSedi_BP5.concoct.11_sub.contigs.fa_BP5.filtered			numORF_multidrug	10
AMDSedi_BP5.concoct.11_sub.contigs.fa_BP5.filtered			numORF_multimetal	7
AMDSedi_BP5.concoct.11_sub.contigs.fa_BP5.filtered			numORF_asARG	29
AMDSedi_BP5.concoct.11_sub.contigs.fa_BP5.filtered			numORF_MRG	14
AMDSedi_BP5.concoct.122_sub.contigs.fa_BP5.filtered			numORF_multimetal	13
AMDSedi_BP5.concoct.122_sub.contigs.fa_BP5.filtered			numORF_MRG	26
AMDSedi_BP5.concoct.122_sub.contigs.fa_BP5.filtered			numORF_multidrug	12
AMDSedi_BP5.concoct.122_sub.contigs.fa_BP5.filtered			numORF_asARG	23
AMDSedi_BP5.concoct.141_sub.contigs.fa_BP5.filtered			numORF_multimetal	7
AMDSedi_BP5.concoct.141_sub.contigs.fa_BP5.filtered			numORF_asARG	21
AMDSedi_BP5.concoct.141_sub.contigs.fa_BP5.filtered			numORF_multidrug	12
AMDSedi_BP5.concoct.141_sub.contigs.fa_BP5.filtered			numORF_MRG	19
AMDSedi_BP5.concoct.143_sub.contigs.fa_BP5.filtered			numORF_asARG	23
AMDSedi_BP5.concoct.143_sub.contigs.fa_BP5.filtered			numORF_multimetal	4
AMDSedi_BP5.concoct.143_sub.contigs.fa_BP5.filtered			numORF_MRG	15
AMDSedi_BP5.concoct.143_sub.contigs.fa_BP5.filtered			numORF_multidrug	16
AMDSedi_BP5.concoct.159.contigs.fa_BP5.filtered			numORF_multidrug	3
AMDSedi_BP5.concoct.159.contigs.fa_BP5.filtered			numORF_MRG	1
AMDSedi_BP5.concoct.159.contigs.fa_BP5.filtered			numORF_asARG	14
AMDSedi_BP5.concoct.159.contigs.fa_BP5.filtered			numORF_multimetal	0
AMDSedi_BP5.concoct.162.contigs.fa_BP5.filtered			numORF_MRG	24
AMDSedi_BP5.concoct.162.contigs.fa_BP5.filtered			numORF_asARG	16
AMDSedi_BP5.concoct.162.contigs.fa_BP5.filtered			numORF_multidrug	6
AMDSedi_BP5.concoct.162.contigs.fa_BP5.filtered			numORF_multimetal	10
AMDSedi_BP5.concoct.164.contigs.fa_BP5.filtered			numORF_multidrug	8
AMDSedi_BP5.concoct.164.contigs.fa_BP5.filtered			numORF_multimetal	3
AMDSedi_BP5.concoct.164.contigs.fa_BP5.filtered			numORF_MRG	14
AMDSedi_BP5.concoct.164.contigs.fa_BP5.filtered			numORF_asARG	24
AMDSedi_BP5.concoct.166_sub.contigs.fa_BP5.filtered			numORF_asARG	13
AMDSedi_BP5.concoct.166_sub.contigs.fa_BP5.filtered			numORF_multidrug	2
AMDSedi_BP5.concoct.166_sub.contigs.fa_BP5.filtered			numORF_multimetal	2
AMDSedi_BP5.concoct.166_sub.contigs.fa_BP5.filtered			numORF_MRG	20
AMDSedi_BP5.concoct.169_sub.contigs.fa_BP5.filtered			numORF_asARG	35
AMDSedi_BP5.concoct.169_sub.contigs.fa_BP5.filtered			numORF_multidrug	11
AMDSedi_BP5.concoct.169_sub.contigs.fa_BP5.filtered			numORF_MRG	67
AMDSedi_BP5.concoct.169_sub.contigs.fa_BP5.filtered			numORF_multimetal	17
AMDSedi_BP5.concoct.177_sub.contigs.fa_BP5.filtered			numORF_asARG	10
AMDSedi_BP5.concoct.177_sub.contigs.fa_BP5.filtered			numORF_MRG	4
AMDSedi_BP5.concoct.177_sub.contigs.fa_BP5.filtered			numORF_multimetal	1
AMDSedi_BP5.concoct.177_sub.contigs.fa_BP5.filtered			numORF_multidrug	2
AMDSedi_BP5.concoct.20.contigs.fa_BP5.filtered			numORF_multidrug	12
AMDSedi_BP5.concoct.20.contigs.fa_BP5.filtered			numORF_multimetal	6
AMDSedi_BP5.concoct.20.contigs.fa_BP5.filtered			numORF_asARG	32
AMDSedi_BP5.concoct.20.contigs.fa_BP5.filtered			numORF_MRG	25
AMDSedi_BP5.concoct.23.contigs.fa_BP5.filtered			numORF_asARG	30
AMDSedi_BP5.concoct.23.contigs.fa_BP5.filtered			numORF_MRG	46
AMDSedi_BP5.concoct.23.contigs.fa_BP5.filtered			numORF_multidrug	12
AMDSedi_BP5.concoct.23.contigs.fa_BP5.filtered			numORF_multimetal	15
AMDSedi_BP5.concoct.3_sub.contigs.fa_BP5.filtered			numORF_asARG	23
AMDSedi_BP5.concoct.3_sub.contigs.fa_BP5.filtered			numORF_MRG	18
AMDSedi_BP5.concoct.3_sub.contigs.fa_BP5.filtered			numORF_multimetal	8
AMDSedi_BP5.concoct.3_sub.contigs.fa_BP5.filtered			numORF_multidrug	14
AMDSedi_BP5.concoct.36_sub.contigs.fa_BP5.filtered			numORF_multidrug	11
AMDSedi_BP5.concoct.36_sub.contigs.fa_BP5.filtered			numORF_MRG	32
AMDSedi_BP5.concoct.36_sub.contigs.fa_BP5.filtered			numORF_asARG	26
AMDSedi_BP5.concoct.36_sub.contigs.fa_BP5.filtered			numORF_multimetal	12
AMDSedi_BP5.concoct.39.contigs.fa_BP5.filtered			numORF_asARG	29
AMDSedi_BP5.concoct.39.contigs.fa_BP5.filtered			numORF_MRG	17
AMDSedi_BP5.concoct.39.contigs.fa_BP5.filtered			numORF_multidrug	11
AMDSedi_BP5.concoct.39.contigs.fa_BP5.filtered			numORF_multimetal	6
AMDSedi_BP5.concoct.49.contigs.fa_BP5.filtered			numORF_multimetal	10
AMDSedi_BP5.concoct.49.contigs.fa_BP5.filtered			numORF_MRG	15
AMDSedi_BP5.concoct.49.contigs.fa_BP5.filtered			numORF_asARG	17
AMDSedi_BP5.concoct.49.contigs.fa_BP5.filtered			numORF_multidrug	4
AMDSedi_BP5.concoct.53_sub.contigs.fa_BP5.filtered			numORF_multidrug	3
AMDSedi_BP5.concoct.53_sub.contigs.fa_BP5.filtered			numORF_MRG	14
AMDSedi_BP5.concoct.53_sub.contigs.fa_BP5.filtered			numORF_multimetal	6
AMDSedi_BP5.concoct.53_sub.contigs.fa_BP5.filtered			numORF_asARG	28
AMDSedi_BP5.concoct.58.contigs.fa_BP5.filtered			numORF_multimetal	3
