spCollection,sample_name,core_ORF,ARG,MRG_type,MRG,NearestDistance,ARG_type
AMDSedi,AMDSedi_BP4.concoct.3.contigs.fa_BP4.filtered,NODE_3724_length_17593_cov_1.250429_BP4_16,kasugamycin_resistance_protein_ksgA,Multi-metal_resistance,RUVBM,8935,aminoglycoside
AMDSedi,AMDSedi_BP4.concoct.3.contigs.fa_BP4.filtered,NODE_4574_length_15533_cov_1.393353_BP4_7,bacA,Multi-metal_resistance,CUSR,8737,bacitracin
AMDSedi,AMDSedi_BP4.concoct.3.contigs.fa_BP4.filtered,NODE_4756_length_15166_cov_1.420906_BP4_9,bacA,Copper_resistance,COPR,2679,bacitracin
AMDSedi,AMDSedi_BP4.concoct.3.contigs.fa_BP4.filtered,NODE_5066_length_14588_cov_1.191273_BP4_7,vanTrL,Multi-metal_resistance,RECGM,5537,glycopeptide
AMDSedi,AMDSedi_BP4.concoct.3.contigs.fa_BP4.filtered,NODE_7457_length_11554_cov_1.223156_BP4_2,carA,Multi-metal_resistance,CUSA,4000,MLS
AMDSedi,AMDSedi_BP4.concoct.40_sub.contigs.fa_BP4.filtered,NODE_1811_length_26892_cov_3.567794_BP4_17,PmrF,Copper_resistance,DNAK,12278,peptide
AMDSedi,AMDSedi_BP4.concoct.40_sub.contigs.fa_BP4.filtered,NODE_2885_length_20509_cov_2.621480_BP4_4,PmrF,Copper_resistance,CORR,9945,peptide
AMDSedi,AMDSedi_BP4.concoct.40_sub.contigs.fa_BP4.filtered,NODE_29281_length_4691_cov_2.882559_BP4_5,emrB,Multi-metal_resistance,RUVBM,2711,multidrug
AMDSedi,AMDSedi_BP4.concoct.40_sub.contigs.fa_BP4.filtered,NODE_6442_length_12662_cov_3.870921_BP4_2,TaeA,Copper_resistance,COPA,2223,pleuromutilin
AMDSedi,AMDSedi_BP4.concoct.40_sub.contigs.fa_BP4.filtered,NODE_77150_length_2508_cov_2.847963_BP4_2,vanB,Copper_resistance,COPS,485,glycopeptide
AMDSedi,AMDSedi_BP4.concoct.41_sub.contigs.fa_BP4.filtered,NODE_5014_length_14668_cov_1.470394_BP4_10,efrB,Cobalt_resistance,NHLF,450,multidrug
AMDSedi,AMDSedi_BP4.concoct.41_sub.contigs.fa_BP4.filtered,NODE_5014_length_14668_cov_1.470394_BP4_9,efrA,Cobalt_resistance,NHLF,2771,multidrug
AMDSedi,AMDSedi_BP4.concoct.45.contigs.fa_BP4.filtered,NODE_10344_length_9372_cov_1.633964_BP4_4,multidrug_ABC_transporter,Multi-metal_resistance,GOLT,523,multidrug
AMDSedi,AMDSedi_BP4.concoct.45.contigs.fa_BP4.filtered,NODE_1470_length_30180_cov_1.700130_BP4_23,kasugamycin_resistance_protein_ksgA,Zinc_resistance,ZRAR,17765,aminoglycoside
AMDSedi,AMDSedi_BP4.concoct.45.contigs.fa_BP4.filtered,NODE_1470_length_30180_cov_1.700130_BP4_27,tetA(48),Zinc_resistance,ZRAR,20494,tetracycline
AMDSedi,AMDSedi_BP4.concoct.45.contigs.fa_BP4.filtered,NODE_5509_length_13855_cov_1.831658_BP4_8,penA,Copper_resistance,CORR,5415,beta-lactam
AMDSedi,AMDSedi_BP4.concoct.72.contigs.fa_BP4.filtered,NODE_1272_length_32600_cov_1.334801_BP4_18,emrB,Multi-metal_resistance,CNRT,6245,multidrug
AMDSedi,AMDSedi_BP4.concoct.72.contigs.fa_BP4.filtered,NODE_15547_length_7162_cov_1.214641_BP4_2,sul4,Arsenic_resistance,PSTB,4074,sulfonamide
AMDSedi,AMDSedi_BP4.concoct.72.contigs.fa_BP4.filtered,NODE_3830_length_17346_cov_1.362797_BP4_8,mdtK,Multi-metal_resistance,RECGM,5701,multidrug
AMDSedi,AMDSedi_BP4.concoct.74.contigs.fa_BP4.filtered,NODE_1322_length_32003_cov_1.383078_BP4_25,cob(I)alamin_adenolsyltransferase,Copper_resistance,DNAK,3110,unclassified
AMDSedi,AMDSedi_BP4.concoct.74.contigs.fa_BP4.filtered,NODE_2400_length_22800_cov_1.406122_BP4_10,TaeA,Arsenic_resistance,AIOR,8983,pleuromutilin
AMDSedi,AMDSedi_BP4.concoct.78_sub.contigs.fa_BP4.filtered,NODE_1471_length_30164_cov_2.390518_BP4_26,mdtA,Multi-metal_resistance,IRLR,16111,multidrug
AMDSedi,AMDSedi_BP4.concoct.84.contigs.fa_BP4.filtered,NODE_1618_length_28563_cov_2.332431_BP4_34,multidrug_ABC_transporter,Mercury_resistance,MERR2,22884,multidrug
AMDSedi,AMDSedi_BP4.metabat2.100.contigs.fa_BP4.filtered,NODE_689_length_46443_cov_7.231842_BP4_29,spcN,Multi-metal_resistance,CUEA,10772,aminoglycoside
AMDSedi,AMDSedi_BP4.metabat2.108.contigs.fa_BP4.filtered,NODE_96_length_118588_cov_12.518111_BP4_80,cfrC,Arsenic_resistance,ARST,29622,phenicol
AMDSedi,AMDSedi_BP4.metabat2.112.contigs.fa_BP4.filtered,NODE_11820_length_8595_cov_11.018186_BP4_7,PmrF,Multi-metal_resistance,IRLR,474,peptide
AMDSedi,AMDSedi_BP4.metabat2.112.contigs.fa_BP4.filtered,NODE_2395_length_22815_cov_11.995945_BP4_10,smeD,Multi-metal_resistance,CORC,4197,multidrug
AMDSedi,AMDSedi_BP4.metabat2.112.contigs.fa_BP4.filtered,NODE_2395_length_22815_cov_11.995945_BP4_11,acrB,Multi-metal_resistance,CORC,5200,multidrug
AMDSedi,AMDSedi_BP4.metabat2.112.contigs.fa_BP4.filtered,NODE_2395_length_22815_cov_11.995945_BP4_12,oprM,Multi-metal_resistance,CORC,8333,multidrug
AMDSedi,AMDSedi_BP4.metabat2.112.contigs.fa_BP4.filtered,NODE_2395_length_22815_cov_11.995945_BP4_17,cob(I)alamin_adenolsyltransferase,Multi-metal_resistance,CORC,13478,unclassified
AMDSedi,AMDSedi_BP4.metabat2.112.contigs.fa_BP4.filtered,NODE_3362_length_18731_cov_8.428833_BP4_5,major_facilitator_superfamily_transporter,Iron_resistance,ACN,10919,multidrug
AMDSedi,AMDSedi_BP4.metabat2.112.contigs.fa_BP4.filtered,NODE_364_length_67059_cov_12.134002_BP4_14,vanC,Multi-metal_resistance,CZCC,17134,glycopeptide
AMDSedi,AMDSedi_BP4.metabat2.112.contigs.fa_BP4.filtered,NODE_364_length_67059_cov_12.134002_BP4_4,penA,Multi-metal_resistance,CZCC,28303,beta-lactam
AMDSedi,AMDSedi_BP4.metabat2.112.contigs.fa_BP4.filtered,NODE_3683_length_17706_cov_11.106320_BP4_15,sul4,Arsenic_resistance,PSTC,2824,sulfonamide
AMDSedi,AMDSedi_BP4.metabat2.114_sub.contigs.fa_BP4.filtered,NODE_1461_length_30288_cov_2.255562_BP4_25,vanH,Multi-metal_resistance,RECGM,11449,glycopeptide
AMDSedi,AMDSedi_BP4.metabat2.114_sub.contigs.fa_BP4.filtered,NODE_1534_length_29492_cov_2.234122_BP4_20,multidrug_ABC_transporter,Copper_resistance,DNAK,8809,multidrug
AMDSedi,AMDSedi_BP4.metabat2.114_sub.contigs.fa_BP4.filtered,NODE_5441_length_13972_cov_2.090719_BP4_2,emrB,Multi-metal_resistance,SILA,5786,multidrug
AMDSedi,AMDSedi_BP4.metabat2.120.contigs.fa_BP4.filtered,NODE_177_length_94480_cov_5.076299_BP4_56,clbC,Multi-metal_resistance,RECGM,23542,phenicol
AMDSedi,AMDSedi_BP4.metabat2.120.contigs.fa_BP4.filtered,NODE_46_length_160381_cov_5.095193_BP4_128,vanH,Multi-metal_resistance,MGTA,24078,glycopeptide
AMDSedi,AMDSedi_BP4.metabat2.120.contigs.fa_BP4.filtered,NODE_628_length_48703_cov_4.996850_BP4_25,ugd,Multi-metal_resistance,CUEA,24173,peptide
AMDSedi,AMDSedi_BP4.metabat2.120.contigs.fa_BP4.filtered,NODE_670_length_47004_cov_5.087719_BP4_12,tlcC,Multi-metal_resistance,SILA,16100,MLS
AMDSedi,AMDSedi_BP4.metabat2.122.contigs.fa_BP4.filtered,NODE_760_length_43505_cov_1.341417_BP4_37,bcrA,Multi-metal_resistance,MGTA,2692,bacitracin
AMDSedi,AMDSedi_BP4.metabat2.153.contigs.fa_BP4.filtered,NODE_6053_length_13149_cov_1.517893_BP4_7,bacA,Copper_resistance,DNAK,682,bacitracin
AMDSedi,AMDSedi_BP4.metabat2.155_sub.contigs.fa_BP4.filtered,NODE_1631_length_28435_cov_1.709835_BP4_2,cob(I)alamin_adenolsyltransferase,Multi-metal_resistance,CORB,20489,unclassified
AMDSedi,AMDSedi_BP4.metabat2.155_sub.contigs.fa_BP4.filtered,NODE_343_length_68837_cov_1.645743_BP4_11,emrA,Copper_resistance,CORR,38193,multidrug
AMDSedi,AMDSedi_BP4.metabat2.155_sub.contigs.fa_BP4.filtered,NODE_343_length_68837_cov_1.645743_BP4_12,emrB,Copper_resistance,CORR,36455,multidrug
AMDSedi,AMDSedi_BP4.metabat2.155_sub.contigs.fa_BP4.filtered,NODE_343_length_68837_cov_1.645743_BP4_31,hmrM,Copper_resistance,CORR,20812,multidrug
AMDSedi,AMDSedi_BP4.metabat2.155_sub.contigs.fa_BP4.filtered,NODE_7876_length_11155_cov_1.515687_BP4_7,tetA(48),Multi-metal_resistance,CUEA,864,tetracycline
AMDSedi,AMDSedi_BP4.metabat2.155_sub.contigs.fa_BP4.filtered,NODE_9666_length_9773_cov_1.769853_BP4_7,patA,Multi-metal_resistance,SILA,7615,fluoroquinolone
AMDSedi,AMDSedi_BP4.metabat2.162_sub.contigs.fa_BP4.filtered,NODE_1626_length_28484_cov_1.836337_BP4_15,OpmB,Multi-metal_resistance,IRLR,11141,multidrug
AMDSedi,AMDSedi_BP4.metabat2.162_sub.contigs.fa_BP4.filtered,NODE_1626_length_28484_cov_1.836337_BP4_16,mdtC,Multi-metal_resistance,IRLR,8067,multidrug
AMDSedi,AMDSedi_BP4.metabat2.162_sub.contigs.fa_BP4.filtered,NODE_1626_length_28484_cov_1.836337_BP4_18,mdtA,Multi-metal_resistance,IRLR,3599,multidrug
AMDSedi,AMDSedi_BP4.metabat2.162_sub.contigs.fa_BP4.filtered,NODE_1644_length_28314_cov_2.023486_BP4_2,oprN,Copper_resistance,COPR,21828,multidrug
AMDSedi,AMDSedi_BP4.metabat2.162_sub.contigs.fa_BP4.filtered,NODE_536_length_53798_cov_2.047381_BP4_33,major_facilitator_superfamily_transporter,Multi-metal_resistance,NIA,8272,multidrug
AMDSedi,AMDSedi_BP4.metabat2.162_sub.contigs.fa_BP4.filtered,NODE_536_length_53798_cov_2.047381_BP4_41,tetA(48),Multi-metal_resistance,NIA,17627,tetracycline
AMDSedi,AMDSedi_BP4.metabat2.164.contigs.fa_BP4.filtered,NODE_103_length_115973_cov_6.024092_BP4_74,penA,Multi-metal_resistance,RECGM,54293,beta-lactam
AMDSedi,AMDSedi_BP4.metabat2.164.contigs.fa_BP4.filtered,NODE_103_length_115973_cov_6.024092_BP4_83,vanL,Multi-metal_resistance,RECGM,65923,glycopeptide
AMDSedi,AMDSedi_BP4.metabat2.164.contigs.fa_BP4.filtered,NODE_103_length_115973_cov_6.024092_BP4_95,otr(B),Multi-metal_resistance,RECGM,78913,tetracycline
AMDSedi,AMDSedi_BP4.metabat2.164.contigs.fa_BP4.filtered,NODE_240_length_81574_cov_5.631147_BP4_53,PmrF,Multi-metal_resistance,IRLR,38153,peptide
AMDSedi,AMDSedi_BP4.metabat2.164.contigs.fa_BP4.filtered,NODE_240_length_81574_cov_5.631147_BP4_63,TriC,Multi-metal_resistance,IRLR,48616,triclosan
AMDSedi,AMDSedi_BP4.metabat2.164.contigs.fa_BP4.filtered,NODE_396_length_64146_cov_5.905934_BP4_51,mexA,Multi-metal_resistance,RUVBM,16075,multidrug
AMDSedi,AMDSedi_BP4.metabat2.164.contigs.fa_BP4.filtered,NODE_396_length_64146_cov_5.905934_BP4_52,acrB,Multi-metal_resistance,RUVBM,17184,multidrug
AMDSedi,AMDSedi_BP4.metabat2.164.contigs.fa_BP4.filtered,NODE_396_length_64146_cov_5.905934_BP4_53,oprM,Multi-metal_resistance,RUVBM,20311,multidrug
AMDSedi,AMDSedi_BP4.metabat2.164.contigs.fa_BP4.filtered,NODE_52_length_154083_cov_5.270870_BP4_24,patA,Arsenic_resistance,PSTB,30898,fluoroquinolone
AMDSedi,AMDSedi_BP4.metabat2.164.contigs.fa_BP4.filtered,NODE_6_length_307221_cov_5.410096_BP4_23,multidrug_ABC_transporter,Multi-metal_resistance,IRLR,10504,multidrug
AMDSedi,AMDSedi_BP4.metabat2.164.contigs.fa_BP4.filtered,NODE_6_length_307221_cov_5.410096_BP4_26,emrA,Multi-metal_resistance,IRLR,7926,multidrug
AMDSedi,AMDSedi_BP4.metabat2.164.contigs.fa_BP4.filtered,NODE_6_length_307221_cov_5.410096_BP4_27,major_facilitator_superfamily_transporter,Multi-metal_resistance,IRLR,6407,multidrug
AMDSedi,AMDSedi_BP4.metabat2.164.contigs.fa_BP4.filtered,NODE_791_length_42371_cov_5.775376_BP4_42,vanTrL,Copper_resistance,DNAK,22167,glycopeptide
AMDSedi,AMDSedi_BP4.metabat2.17_sub.contigs.fa_BP4.filtered,NODE_11715_length_8645_cov_1.847969_BP4_4,tetA(48),Multi-metal_resistance,RECGM,4842,tetracycline
AMDSedi,AMDSedi_BP4.metabat2.175.contigs.fa_BP4.filtered,NODE_256_length_78377_cov_7.705610_BP4_29,cfrC,Arsenic_resistance,ARST,14404,phenicol
AMDSedi,AMDSedi_BP4.metabat2.175.contigs.fa_BP4.filtered,NODE_256_length_78377_cov_7.705610_BP4_71,efrA,Multi-metal_resistance,NIA,707,multidrug
AMDSedi,AMDSedi_BP4.metabat2.175.contigs.fa_BP4.filtered,NODE_256_length_78377_cov_7.705610_BP4_72,efrB,Multi-metal_resistance,NIA,2626,multidrug
AMDSedi,AMDSedi_BP4.metabat2.175.contigs.fa_BP4.filtered,NODE_362_length_67174_cov_6.852760_BP4_17,multidrug_ABC_transporter,Multi-metal_resistance,RUVBM,12415,multidrug
AMDSedi,AMDSedi_BP4.metabat2.175.contigs.fa_BP4.filtered,NODE_40_length_172241_cov_6.921622_BP4_104,kasugamycin_resistance_protein_ksgA,Multi-metal_resistance,IRLR,5996,aminoglycoside
AMDSedi,AMDSedi_BP4.metabat2.175.contigs.fa_BP4.filtered,NODE_40_length_172241_cov_6.921622_BP4_24,tetA(48),Multi-metal_resistance,RECGM,14671,tetracycline
AMDSedi,AMDSedi_BP4.metabat2.175.contigs.fa_BP4.filtered,NODE_40_length_172241_cov_6.921622_BP4_25,tetB(48),Multi-metal_resistance,RECGM,15702,tetracycline
AMDSedi,AMDSedi_BP4.metabat2.175.contigs.fa_BP4.filtered,NODE_7_length_289507_cov_6.982649_BP4_193,Staphylococcus_mupA_conferring_resistance_to_mupirocin,Cobalt_resistance,NHLF,59675,mupirocin
AMDSedi,AMDSedi_BP4.metabat2.175.contigs.fa_BP4.filtered,NODE_7_length_289507_cov_6.982649_BP4_205,patA,Cobalt_resistance,NHLF,74094,fluoroquinolone
AMDSedi,AMDSedi_BP4.metabat2.175.contigs.fa_BP4.filtered,NODE_7_length_289507_cov_6.982649_BP4_215,multidrug_ABC_transporter,Cobalt_resistance,NHLF,84678,multidrug
AMDSedi,AMDSedi_BP4.metabat2.175.contigs.fa_BP4.filtered,NODE_7_length_289507_cov_6.982649_BP4_216,multidrug_ABC_transporter,Cobalt_resistance,NHLF,86537,multidrug
AMDSedi,AMDSedi_BP4.metabat2.177.contigs.fa_BP4.filtered,NODE_127_length_107808_cov_14.666534_BP4_39,tetA(48),Multi-metal_resistance,IRLR,2306,tetracycline
AMDSedi,AMDSedi_BP4.metabat2.177.contigs.fa_BP4.filtered,NODE_127_length_107808_cov_14.666534_BP4_60,patA,Multi-metal_resistance,CTPC,18169,fluoroquinolone
AMDSedi,AMDSedi_BP4.metabat2.177.contigs.fa_BP4.filtered,NODE_1769_length_27249_cov_15.387988_BP4_4,bacA,Zinc_resistance,ZRAR,11321,bacitracin
AMDSedi,AMDSedi_BP4.metabat2.177.contigs.fa_BP4.filtered,NODE_185_length_92705_cov_14.820141_BP4_16,chloramphenicol_and_florfenicol_resistance,Copper_resistance,DNAK,9640,phenicol
AMDSedi,AMDSedi_BP4.metabat2.177.contigs.fa_BP4.filtered,NODE_185_length_92705_cov_14.820141_BP4_46,tlcC,Arsenic_resistance,PSTS,30853,MLS
AMDSedi,AMDSedi_BP4.metabat2.177.contigs.fa_BP4.filtered,NODE_185_length_92705_cov_14.820141_BP4_55,PmrF,Arsenic_resistance,PSTS,21232,peptide
AMDSedi,AMDSedi_BP4.metabat2.177.contigs.fa_BP4.filtered,NODE_185_length_92705_cov_14.820141_BP4_69,sul4,Arsenic_resistance,PSTS,4796,sulfonamide
AMDSedi,AMDSedi_BP4.metabat2.177.contigs.fa_BP4.filtered,NODE_185_length_92705_cov_14.820141_BP4_79,baeR,Arsenic_resistance,PSTB,907,multidrug
AMDSedi,AMDSedi_BP4.metabat2.177.contigs.fa_BP4.filtered,NODE_204_length_89133_cov_14.540986_BP4_55,multidrug_ABC_transporter,Arsenic_resistance,ARST,20574,multidrug
AMDSedi,AMDSedi_BP4.metabat2.177.contigs.fa_BP4.filtered,NODE_204_length_89133_cov_14.540986_BP4_71,mdtD,Arsenic_resistance,ARST,35837,multidrug
AMDSedi,AMDSedi_BP4.metabat2.177.contigs.fa_BP4.filtered,NODE_45_length_162834_cov_15.511478_BP4_164,mexW,Multi-metal_resistance,CORA,64349,multidrug
AMDSedi,AMDSedi_BP4.metabat2.177.contigs.fa_BP4.filtered,NODE_538_length_53741_cov_15.241541_BP4_22,emrB,Multi-metal_resistance,RUVBM,5039,multidrug
AMDSedi,AMDSedi_BP4.metabat2.177.contigs.fa_BP4.filtered,NODE_538_length_53741_cov_15.241541_BP4_23,emrA,Multi-metal_resistance,RUVBM,6608,multidrug
AMDSedi,AMDSedi_BP4.metabat2.177.contigs.fa_BP4.filtered,NODE_809_length_41797_cov_14.319582_BP4_24,bacA,Multi-metal_resistance,MNTH,1587,bacitracin
AMDSedi,AMDSedi_BP4.metabat2.179.contigs.fa_BP4.filtered,NODE_1930_length_25948_cov_6.558770_BP4_25,multidrug_ABC_transporter,Multi-metal_resistance,MGTA,18022,multidrug
AMDSedi,AMDSedi_BP4.metabat2.179.contigs.fa_BP4.filtered,NODE_310_length_71854_cov_7.330085_BP4_4,ugd,Copper_resistance,DNAK,21158,peptide
AMDSedi,AMDSedi_BP4.metabat2.179.contigs.fa_BP4.filtered,NODE_3332_length_18810_cov_7.110528_BP4_15,patA,Arsenic_resistance,PSTB,3319,fluoroquinolone
AMDSedi,AMDSedi_BP4.metabat2.179.contigs.fa_BP4.filtered,NODE_360_length_67260_cov_7.179628_BP4_21,tetA(48),Multi-metal_resistance,RECGM,8485,tetracycline
AMDSedi,AMDSedi_BP4.metabat2.179.contigs.fa_BP4.filtered,NODE_360_length_67260_cov_7.179628_BP4_35,dfrA1,Multi-metal_resistance,RECGM,9111,diaminopyrimidine
